date,sender,transaction_amount,balance,transaction_type
2014-01-01,Eve,66.71,760.8193947632309,withdrawal
2014-01-01,Eve,11.3,781.403658636068,deposit
2014-01-01,David,64.41,728.5977557915451,deposit
2014-01-01,Alice,512.52,520.0917556057458,withdrawal
2014-01-01,Alice,41.55,406.6028091031792,withdrawal
2014-01-01,Alice,45.62,398.7294642915575,withdrawal
2014-01-01,Charlie,183.25,336.09365042293973,deposit
2014-01-02,Alice,167.38,340.4638362212445,withdrawal
2014-01-02,David,38.71,354.05055031274685,withdrawal
2014-01-02,Charlie,33.51,381.8715598703802,withdrawal
2014-01-02,Alice,24.88,374.2745738000548,withdrawal
2014-01-02,Eve,394.78,257.00125646859556,deposit
2014-01-02,David,212.52,326.3238882950693,withdrawal
2014-01-03,Bob,230.83,173.86061941263438,withdrawal
2014-01-03,David,48.04,63.45211524934962,withdrawal
2014-01-03,Eve,271.77,202.59849090524176,withdrawal
2014-01-03,David,613.43,332.54474524874854,deposit
2014-01-03,Bob,36.26,189.87395942212004,deposit
2014-01-03,David,123.46,112.76362258757138,deposit
2014-01-04,David,128.42,388.1103485945066,withdrawal
2014-01-04,David,112.71,327.96217232876177,deposit
2014-01-04,Bob,207.13,248.90265332517288,deposit
2014-01-04,David,126.11,319.976070881585,withdrawal
2014-01-04,Charlie,342.97,279.0509329348806,withdrawal
2014-01-04,David,533.35,227.50846325177224,deposit
2014-01-05,Eve,19.96,150.12162162934328,deposit
2014-01-05,David,146.27,0.5309794929657983,withdrawal
2014-01-05,David,37.38,152.93645996193754,withdrawal
2014-01-05,Charlie,300.32,190.57539992875184,withdrawal
2014-01-05,Alice,71.5,220.1376974973398,deposit
2014-01-05,Alice,177.76,282.9580341027531,withdrawal
2014-01-06,Alice,208.11,0.0,deposit
2014-01-06,Bob,360.36,0.0,deposit
2014-01-06,Charlie,621.16,0.0,deposit
2014-01-06,Bob,413.25,0.0,withdrawal
2014-01-07,Eve,141.55,0.0,withdrawal
2014-01-07,David,206.64,88.57568628406227,withdrawal
2014-01-07,Bob,123.13,25.854415400550465,withdrawal
2014-01-07,Alice,201.09,0.0,withdrawal
2014-01-07,David,129.14,38.06682209155724,deposit
2014-01-07,Eve,896.58,137.4795186225225,deposit
2014-01-07,Eve,76.12,82.15044500051897,deposit
2014-01-08,Alice,435.58,0.0,withdrawal
2014-01-08,Charlie,36.26,0.0,withdrawal
2014-01-08,Alice,25.63,0.0,deposit
2014-01-08,Alice,138.04,0.0,deposit
2014-01-08,Bob,800.92,0.0,withdrawal
2014-01-08,Alice,12.17,0.0,withdrawal
2014-01-08,Alice,861.86,0.0,deposit
2014-01-08,Bob,686.58,0.0,withdrawal
2014-01-09,Alice,69.23,0.0,deposit
2014-01-09,Alice,443.29,0.0,withdrawal
2014-01-10,Alice,108.24,0.0,withdrawal
2014-01-10,Bob,94.26,0.0,deposit
2014-01-10,Bob,127.84,0.0,deposit
2014-01-10,Eve,204.11,0.0,withdrawal
2014-01-10,Alice,102.87,0.0,deposit
2014-01-10,Alice,121.05,0.0,withdrawal
2014-01-10,Charlie,465.9,0.0,withdrawal
2014-01-10,Charlie,1.56,0.0,deposit
2014-01-11,Bob,153.82,0.0,withdrawal
2014-01-11,Alice,622.75,0.0,deposit
2014-01-11,Charlie,45.28,0.0,deposit
2014-01-11,Bob,122.83,0.0,deposit
2014-01-11,Charlie,3.1,0.0,deposit
2014-01-12,Alice,58.14,0.0,withdrawal
2014-01-12,Bob,186.85,0.0,withdrawal
2014-01-12,Alice,37.15,0.0,withdrawal
2014-01-12,David,60.64,0.0,withdrawal
2014-01-12,Charlie,390.17,0.0,withdrawal
2014-01-12,David,93.83,0.0,deposit
2014-01-12,Bob,105.29,0.0,withdrawal
2014-01-12,Charlie,428.84,0.0,withdrawal
2014-01-12,David,19.91,0.0,deposit
2014-01-12,Charlie,19.31,0.0,withdrawal
2014-01-12,Eve,369.33,0.0,deposit
2014-01-12,Charlie,232.5,0.0,deposit
2014-01-13,David,48.57,0.0,withdrawal
2014-01-13,Eve,300.91,0.0,withdrawal
2014-01-13,Charlie,77.05,0.0,withdrawal
2014-01-13,Alice,35.38,0.0,withdrawal
2014-01-13,David,85.47,0.0,deposit
2014-01-13,Eve,57.3,0.0,deposit
2014-01-13,Charlie,76.29,0.0,withdrawal
2014-01-13,David,201.18,0.0,withdrawal
2014-01-13,Charlie,108.42,0.0,withdrawal
2014-01-14,Bob,122.01,0.0,deposit
2014-01-14,Eve,162.82,0.0,deposit
2014-01-14,David,573.16,0.0,withdrawal
2014-01-14,Bob,587.92,0.0,withdrawal
2014-01-14,Bob,135.82,0.0,withdrawal
2014-01-14,Bob,22.62,0.0,deposit
2014-01-15,David,40.96,0.0,deposit
2014-01-15,Bob,81.09,0.0,withdrawal
2014-01-16,Charlie,211.11,0.0,withdrawal
2014-01-16,Eve,349.67,0.0,withdrawal
2014-01-16,Eve,662.33,0.0,withdrawal
2014-01-16,David,56.72,0.0,deposit
2014-01-16,Eve,11.6,0.0,deposit
2014-01-16,Eve,16.9,0.0,deposit
2014-01-16,Bob,0.37,0.0,withdrawal
2014-01-16,Charlie,236.52,0.0,deposit
2014-01-16,David,169.01,0.0,deposit
2014-01-16,David,26.47,0.0,deposit
2014-01-16,Alice,243.23,0.0,withdrawal
2014-01-16,Alice,363.51,0.0,deposit
2014-01-17,Eve,52.87,0.0,deposit
2014-01-17,Charlie,127.83,0.0,deposit
2014-01-17,Eve,80.82,0.0,deposit
2014-01-17,Eve,16.03,0.0,withdrawal
2014-01-17,Bob,36.41,0.0,deposit
2014-01-17,Alice,221.02,0.0,deposit
2014-01-17,Bob,174.3,0.0,withdrawal
2014-01-17,Eve,182.45,0.0,withdrawal
2014-01-17,Alice,605.78,0.0,deposit
2014-01-18,Charlie,92.05,0.0,deposit
2014-01-18,Charlie,51.85,0.0,withdrawal
2014-01-18,David,168.54,0.0,withdrawal
2014-01-18,Eve,270.1,0.0,deposit
2014-01-18,Eve,233.35,0.0,deposit
2014-01-18,David,25.06,0.0,withdrawal
2014-01-19,Charlie,684.8,0.0,deposit
2014-01-19,David,51.59,0.0,withdrawal
2014-01-19,Charlie,53.56,0.0,withdrawal
2014-01-19,Charlie,34.07,0.0,withdrawal
2014-01-19,Bob,53.84,0.0,withdrawal
2014-01-19,Charlie,81.2,0.0,deposit
2014-01-19,David,270.87,0.0,withdrawal
2014-01-19,Bob,418.83,0.0,deposit
2014-01-19,Alice,59.18,0.0,deposit
2014-01-19,Bob,887.47,0.0,withdrawal
2014-01-19,Bob,672.22,0.0,withdrawal
2014-01-19,Charlie,409.9,0.0,deposit
2014-01-19,Charlie,44.03,0.0,deposit
2014-01-19,Charlie,168.85,0.0,withdrawal
2014-01-19,Eve,128.99,0.0,deposit
2014-01-19,Bob,125.99,0.0,deposit
2014-01-19,Charlie,11.25,0.0,deposit
2014-01-19,Bob,377.16,0.0,deposit
2014-01-19,Bob,159.24,0.0,withdrawal
2014-01-20,Bob,206.14,0.0,withdrawal
2014-01-20,Charlie,36.54,0.0,withdrawal
2014-01-21,Bob,224.85,0.0,deposit
2014-01-21,Eve,344.45,0.0,deposit
2014-01-21,Bob,143.96,0.0,deposit
2014-01-21,Alice,55.62,0.0,deposit
2014-01-21,Charlie,104.86,0.0,deposit
2014-01-21,Bob,83.53,0.0,deposit
2014-01-21,Alice,133.9,0.0,deposit
2014-01-21,Alice,40.82,0.0,deposit
2014-01-21,David,43.53,0.0,deposit
2014-01-21,David,186.29,0.0,withdrawal
2014-01-22,Bob,213.09,0.0,deposit
2014-01-22,Charlie,124.13,0.0,withdrawal
2014-01-22,Eve,616.07,0.0,withdrawal
2014-01-22,Bob,68.21,0.0,withdrawal
2014-01-22,David,484.8,0.0,withdrawal
2014-01-22,Bob,383.77,0.0,deposit
2014-01-22,Alice,27.87,0.0,withdrawal
2014-01-22,David,48.29,0.0,withdrawal
2014-01-23,Bob,119.1,0.0,withdrawal
2014-01-23,Eve,308.26,0.0,deposit
2014-01-23,David,454.77,0.0,deposit
2014-01-23,Bob,682.67,0.0,withdrawal
2014-01-23,Eve,65.37,0.0,withdrawal
2014-01-23,Alice,345.67,0.0,deposit
2014-01-23,Charlie,2.04,0.0,withdrawal
2014-01-23,Alice,531.7,0.0,withdrawal
2014-01-23,Eve,41.81,0.0,deposit
2014-01-24,David,155.74,0.0,deposit
2014-01-24,Alice,142.9,0.0,withdrawal
2014-01-24,Bob,2.62,0.0,withdrawal
2014-01-24,David,39.84,0.0,deposit
2014-01-24,Charlie,137.68,0.0,deposit
2014-01-24,Charlie,279.32,0.0,deposit
2014-01-25,David,115.0,0.0,deposit
2014-01-25,David,107.0,0.0,deposit
2014-01-25,David,1.34,0.0,withdrawal
2014-01-25,David,848.83,0.0,deposit
2014-01-25,Bob,237.85,0.0,deposit
2014-01-25,Eve,345.87,0.0,withdrawal
2014-01-25,Eve,352.67,0.0,withdrawal
2014-01-25,Charlie,249.28,0.0,deposit
2014-01-25,David,66.61,0.0,withdrawal
2014-01-25,Bob,93.94,0.0,withdrawal
2014-01-26,Eve,137.52,0.0,deposit
2014-01-26,Bob,269.62,0.0,withdrawal
2014-01-26,Charlie,156.98,0.0,withdrawal
2014-01-26,Charlie,105.66,0.0,withdrawal
2014-01-26,Charlie,379.07,0.0,withdrawal
2014-01-26,Charlie,61.23,0.0,deposit
2014-01-26,Eve,67.69,0.0,withdrawal
2014-01-27,David,8.69,0.0,withdrawal
2014-01-27,Charlie,4.64,0.0,withdrawal
2014-01-27,Alice,630.82,0.0,withdrawal
2014-01-27,Eve,206.14,0.0,deposit
2014-01-27,Charlie,348.88,0.0,deposit
2014-01-27,Charlie,130.95,0.0,withdrawal
2014-01-28,David,117.7,0.0,withdrawal
2014-01-28,Eve,834.89,0.0,withdrawal
2014-01-28,Bob,2.66,0.0,withdrawal
2014-01-28,Bob,338.44,0.0,withdrawal
2014-01-28,Eve,382.51,0.0,withdrawal
2014-01-28,Bob,591.03,0.0,withdrawal
2014-01-28,Bob,174.25,0.0,withdrawal
2014-01-28,Bob,312.97,0.0,deposit
2014-01-28,David,8.89,0.0,withdrawal
2014-01-28,David,69.78,0.0,withdrawal
2014-01-28,Bob,60.65,0.0,withdrawal
2014-01-28,Alice,131.09,0.0,deposit
2014-01-29,David,114.17,0.0,deposit
2014-01-29,Bob,300.47,0.0,deposit
2014-01-29,David,21.09,0.0,deposit
2014-01-29,David,2.76,0.0,deposit
2014-01-29,Eve,145.55,0.0,deposit
2014-01-29,Alice,157.56,0.0,withdrawal
2014-01-29,David,10.48,0.0,withdrawal
2014-01-29,Charlie,131.4,0.0,withdrawal
2014-01-29,Alice,399.91,0.0,deposit
2014-01-29,Eve,180.95,0.0,deposit
2014-01-29,Alice,87.68,0.0,withdrawal
2014-01-29,Bob,468.05,0.0,withdrawal
2014-01-30,Bob,1248.84,0.0,withdrawal
2014-01-30,Charlie,237.93,0.0,deposit
2014-01-30,Bob,597.56,0.0,withdrawal
2014-01-30,Alice,65.52,0.0,deposit
2014-01-30,David,38.75,0.0,deposit
2014-01-31,Bob,5.34,0.0,withdrawal
