Unnamed: 0,date,sender,transaction_amount,balance,transaction_type,adjusted_balance
6,01-01-2014,Charlie,183.25,336.0936504,deposit,519.3436504
5,01-01-2014,Alice,45.62,398.7294643,withdrawal,353.1094643
,01-01-2014,job,10000,10398.72946,deposit,10398.72946
3,01-01-2014,Alice,512.52,520.0917556,withdrawal,7.571755606
4,01-01-2014,Alice,41.55,406.6028091,withdrawal,365.0528091
1,01-01-2014,Eve,11.3,781.4036586,deposit,792.7036586
2,01-01-2014,David,64.41,728.5977558,deposit,793.0077558
8,02-01-2014,David,38.71,354.0505503,withdrawal,315.3405503
12,02-01-2014,David,212.52,326.3238883,withdrawal,113.8038883
7,02-01-2014,Alice,167.38,340.4638362,withdrawal,173.0838362
10,02-01-2014,Alice,24.88,374.2745738,withdrawal,349.3945738
9,02-01-2014,Charlie,33.51,381.8715599,withdrawal,348.3615599
11,02-01-2014,Eve,394.78,257.0012565,deposit,651.7812565
18,03-01-2014,David,123.46,112.7636226,deposit,236.2236226
17,03-01-2014,Bob,36.26,189.8739594,deposit,226.1339594
16,03-01-2014,David,613.43,332.5447452,deposit,945.9747452
13,03-01-2014,Bob,230.83,173.8606194,withdrawal,-56.96938059
14,03-01-2014,David,48.04,63.45211525,withdrawal,15.41211525
15,03-01-2014,Eve,271.77,202.5984909,withdrawal,-69.17150909
24,04-01-2014,David,533.35,227.5084633,deposit,760.8584633
23,04-01-2014,Charlie,342.97,279.0509329,withdrawal,-63.91906707
20,04-01-2014,David,112.71,327.9621723,deposit,440.6721723
21,04-01-2014,Bob,207.13,248.9026533,deposit,456.0326533
19,04-01-2014,David,128.42,388.1103486,withdrawal,259.6903486
22,04-01-2014,David,126.11,319.9760709,withdrawal,193.8660709
25,05-01-2014,Eve,19.96,150.1216216,deposit,170.0816216
26,05-01-2014,David,146.27,0.530979493,withdrawal,-145.7390205
29,05-01-2014,Alice,71.5,220.1376975,deposit,291.6376975
28,05-01-2014,Charlie,300.32,190.5753999,withdrawal,-109.7446001
30,05-01-2014,Alice,177.76,282.9580341,withdrawal,105.1980341
